Date,rented_bikes,temp_c,humidity_pct,wind_speed,snowfall_cm
1/1/18,4290,-1.2833333333333334,39.333333333333336,1.4541666666666666,0
1/10/18,27909,15.4375,54.25,2.825,0
1/11/18,22964,8.345833333333333,54.166666666666664,1.2708333333333333,0
1/12/17,9539,-2.4541666666666666,45.875,1.5375,0
1/2/18,5377,-3.8666666666666667,44,1.6083333333333334,0.9041666666666667
1/3/18,5132,0.45,64.20833333333333,3.5541666666666667,0
1/4/18,17388,15.183333333333334,68.91666666666667,1.5708333333333333,0
1/5/18,26820,20.34166666666667,72.79166666666667,1.4375,0
1/6/18,31928,23.708333333333332,50.125,1.9541666666666666,0
1/7/18,3231,22.025,93.45833333333333,0.7833333333333333,0
1/8/18,20712,33.42916666666667,55.791666666666664,1.6833333333333333,0
1/9/18,26010,25.454166666666666,61.208333333333336,1.2083333333333333,0
10/1/18,4161,-7.033333333333333,54.208333333333336,2.933333333333333,0.425
10/10/18,24410,12.8125,61.291666666666664,2.3916666666666666,0
10/11/18,18473,12.108333333333334,69.20833333333333,1.3041666666666667,0
10/12/17,3453,1.1916666666666667,69.70833333333333,2.004166666666667,1.3541666666666667
10/2/18,4425,0.12083333333333332,49.75,3.0666666666666664,0
10/3/18,11064,4.354166666666667,65.04166666666667,1.95,0
10/4/18,16696,14.654166666666667,46.958333333333336,3.433333333333333,0
10/5/18,0,15.470833333333333,65.83333333333333,2.254166666666667,0
10/6/18,29342,21.304166666666667,60.125,1.3791666666666667,0
10/7/18,20641,23.34166666666667,87.16666666666667,0.6625,0
10/8/18,23833,30.579166666666666,61.666666666666664,1.3125,0
10/9/18,30781,22.945833333333333,50.083333333333336,1.5625,0
11/1/18,4017,-10.766666666666667,49.875,2.6375,0
11/10/18,24526,9.683333333333334,50.25,2.2041666666666666,0
11/11/18,13138,8.395833333333334,69.70833333333333,1.025,0
11/12/17,5848,-6.266666666666667,39.375,3.6083333333333334,0
11/2/18,2850,-5.9875,40.541666666666664,2.7,0
11/3/18,11843,6.6125,53.333333333333336,1.9416666666666667,0
11/4/18,0,12.866666666666667,53.375,3.0083333333333333,0
11/5/18,26649,15.8125,63.5,1.7125,0
11/6/18,24832,20.558333333333334,63.375,1.4208333333333334,0
11/7/18,24135,26.620833333333334,84,1.3125,0
11/8/18,20009,31.083333333333332,55.083333333333336,1.6083333333333334,0
